date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:10	61289/61289	---MCZ	200	added ('OK')	text/html	etag:W/%223852dadd63da5c8cce7ef3bbe8b0a16c%22	https://demo.hasthemes.com/flone-preview/flone/shop-list-fw-2col.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/shop-list-fw-2col.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:23:11	64193/64193	---MCZ	200	added ('OK')	text/html	etag:W/%227b791190da52d8d9d8d19dc70754b37f%22	https://demo.hasthemes.com/flone-preview/flone/product-details.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/product-details.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:23:12	64042/64042	---MCZ	200	added ('OK')	text/html	etag:W/%227623fce1cd20a25a6e065825282c7187%22	https://demo.hasthemes.com/flone-preview/flone/product-details-2.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/product-details-2.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:23:13	64041/64041	---MCZ	200	added ('OK')	text/html	etag:W/%220165188ee289674e7421892d95d996c8%22	https://demo.hasthemes.com/flone-preview/flone/product-details-3.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/product-details-3.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:23:14	62533/62533	---MCZ	200	added ('OK')	text/html	etag:W/%226d2014a1240066204d7452ff449f65e7%22	https://demo.hasthemes.com/flone-preview/flone/product-details-4.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/product-details-4.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:23:14	63508/63508	---MCZ	200	added ('OK')	text/html	etag:W/%224151c8fb39fecbe65037fd4389594a78%22	https://demo.hasthemes.com/flone-preview/flone/product-details-5.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/product-details-5.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:23:16	63039/63039	---MCZ	200	added ('OK')	text/html	etag:W/%22c26b635bcb78153cf90e15cfb939ce66%22	https://demo.hasthemes.com/flone-preview/flone/product-details-slider-box.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/product-details-slider-box.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:23:17	63586/63586	---MCZ	200	added ('OK')	text/html	etag:W/%224211997e61946ed729dda27f903ece40%22	https://demo.hasthemes.com/flone-preview/flone/product-details-affiliate.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/product-details-affiliate.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:23:17	36670/36670	---M--	200	added ('OK')	image/png	etag:%227ba8fc112c889a4f43d6bc03ca69e08e%22	https://demo.hasthemes.com/flone-preview/flone/assets/img/banner/banner-12.png	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/assets/img/banner/banner-12.png	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:23:18	61821/61821	---MCZ	200	added ('OK')	text/html	etag:W/%22d339ed08300328eeb8025d028edf451f%22	https://demo.hasthemes.com/flone-preview/flone/product-details-6.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/product-details-6.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
